,Taxonomy
ASV0001,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV0544,Bacteria; Acidobacteriota; Subgroup_5; o; f; g
ASV0545,Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter
ASV0546,Bacteria; Actinobacteriota; Acidimicrobiia; IMCC26256; f; g
ASV0547,Archaea; Halobacterota; Methanosarcinia; Methanosarciniales; Methanosarcinaceae; Methanosarcina
ASV0548,Bacteria; Desulfobacterota; Desulfuromonadia; Geobacterales; Geobacteraceae; uncultured
ASV0549,Archaea; Halobacterota; Methanomicrobia; Methanomicrobiales; uncultured; g
ASV0550,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Pelotomaculaceae; Pelotomaculum
ASV0551,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0552,Bacteria; Acidobacteriota; Holophagae; Subgroup_7; f; g
ASV0553,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_13
ASV0554,Bacteria; Chloroflexi; KD4_96; o; f; g
ASV0555,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; Desulfitobacteriaceae; Desulfosporosinus
ASV0557,Bacteria; Chloroflexi; Ktedonobacteria; C0119; f; g
ASV0558,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Lutispora; g
ASV0559,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV0560,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Dokdonella
ASV0561,Bacteria; Actinobacteriota; Actinobacteria; Micromonosporales; Micromonosporaceae; Catellatospora
ASV0562,Bacteria; Actinobacteriota; MB_A2_108; o; f; g
ASV0563,Bacteria; Planctomycetota; Planctomycetes; Planctomycetales; Schlesneriaceae; Planctopirus
ASV0564,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV0565,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41
ASV0566,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus
ASV0567,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Labraceae; Labrys
ASV0568,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV0569,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; Ellin516
ASV0570,Bacteria; Planctomycetota; OM190; o; f; g
ASV0571,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV0572,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0573,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Lutispora; g
ASV0575,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV0576,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Hyphomonadaceae; SWB02
ASV0577,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium
ASV0578,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV0579,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Phyllobacterium
ASV0580,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0581,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV0582,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; uncultured; g
ASV0583,Bacteria; Proteobacteria; Gammaproteobacteria; R7C24; f; g
ASV0584,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Levilinea
ASV0585,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0586,Bacteria; Chloroflexi; Dehalococcoidia; S085; f; g
ASV0587,Bacteria; Patescibacteria; Microgenomatia; o; f; g
ASV0588,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0589,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV0590,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; uncultured
ASV0591,Bacteria; Proteobacteria; Alphaproteobacteria; uncultured; f; g
ASV0592,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; Bauldia
ASV0593,Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; AKAU3564_sediment_group; g
ASV0594,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV0595,Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Singulisphaera
ASV0596,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium_Methylorubrum
ASV0597,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Hyphomonadaceae; SWB02
ASV0598,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Woesebacteria; f; g
ASV0599,Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia
ASV0600,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV0601,Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Paludisphaera
ASV0602,Bacteria; Proteobacteria; Gammaproteobacteria; uncultured; f; g
ASV0603,Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter
ASV0604,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0605,Archaea; Halobacterota; Methanomicrobia; Methanomicrobiales; uncultured; g
ASV0606,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV0607,Bacteria; Proteobacteria; Gammaproteobacteria; Coxiellales; Coxiellaceae; Coxiella
ASV0608,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Ottowia
ASV0609,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Lachnospiraceae_NC2004_group
ASV0610,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV0611,Bacteria; Deinococcota; Deinococci; Deinococcales; Trueperaceae; Truepera
ASV0612,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0613,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; C2U; g
ASV0614,Bacteria; Chloroflexi; KD4_96; o; f; g
ASV0615,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV0616,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0617,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Flavitalea
ASV0619,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV0620,Bacteria; Proteobacteria; Alphaproteobacteria; Defluviicoccales; Defluviicoccaceae; Defluviicoccus
ASV0621,Bacteria; Firmicutes; D8A_2; o; f; g
ASV0622,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Pedomicrobium
ASV0623,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV0624,Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; g
ASV0625,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus
ASV0626,Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae; P3OB_42
ASV0627,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Bosea
ASV0628,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; Criblamydiaceae; Criblamydia
ASV0629,Bacteria; Sumerlaeota; Sumerlaeia; Sumerlaeales; Sumerlaeaceae; Sumerlaea
ASV0630,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0631,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; uncultured
ASV0632,Bacteria; Firmicutes; Clostridia; Oscillospirales; UCG_010; g
ASV0633,Bacteria; Planctomycetota; Phycisphaerae; MSBL9; SG8_4; g
ASV0634,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0635,Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae; uncultured
ASV0636,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Amesbacteria; f; g
ASV0637,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Filimonas
ASV0638,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Dehalobacter
ASV0639,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC_I_84; g
ASV0640,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Hydrogenophilaceae; Thiobacillus
ASV0641,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhodomicrobiaceae; Rhodomicrobium
ASV0642,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV0643,Bacteria; Bdellovibrionota; Oligoflexia; 0319_6G20; f; g
ASV0644,Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Nocardiaceae; Skermania
ASV0645,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0646,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0647,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculales_Incertae_Sedis; Desulfallas_Sporotomaculum
ASV0648,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Amesbacteria; f; g
ASV0649,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41
ASV0650,Bacteria; Acidobacteriota; Holophagae; Subgroup_7; f; g
ASV0651,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0652,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0653,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Parasegetibacter
ASV0654,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0655,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Amesbacteria; f; g
ASV0656,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV0657,Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Aetherobacter
ASV0658,Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium
ASV0659,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
ASV0660,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0661,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Pseudoflavitalea
ASV0662,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Parasegetibacter
ASV0664,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV0665,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV0666,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV0667,Bacteria; Marinimicrobia_SAR406_clade_; c; o; f; g
ASV0668,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Virgibacillus
ASV0669,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV0670,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
ASV0671,Bacteria; Firmicutes; Syntrophomonadia; Syntrophomonadales; Syntrophomonadaceae; Syntrophomonas
ASV0672,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; uncultured
ASV0673,Bacteria; Armatimonadota; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; g
ASV0674,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfurisporaceae; Desulfurispora
ASV0675,Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67_14; g
ASV0676,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC_I_84; g
ASV0677,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0678,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV0681,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Roseomonas
ASV0682,Bacteria; Actinobacteriota; Acidimicrobiia; IMCC26256; f; g
ASV0683,Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; AKAU3564_sediment_group; g
ASV0684,Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; g
ASV0685,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0686,Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas
ASV0687,Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium
ASV0688,Bacteria; Desulfobacterota; Syntrophorhabdia; Syntrophorhabdales; Syntrophorhabdaceae; Syntrophorhabdus
ASV0689,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Edaphobaculum
ASV0690,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculaceae; Desulfofarcimen
ASV0691,Bacteria; Acidobacteriota; Blastocatellia; 11_24; f; g
ASV0692,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; uncultured
ASV0693,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Candidatus_Dichloromethanomonas
ASV0694,Bacteria; Proteobacteria; Alphaproteobacteria; uncultured; f; g
ASV0695,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Family_XI; Tissierella
ASV0696,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0697,Bacteria; Firmicutes; Symbiobacteriia; Symbiobacteriales; Symbiobacteraceae; uncultured
ASV0698,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV0699,Bacteria; Desulfobacterota; Desulfobulbia; Desulfobulbales; Desulfobulbaceae; Desulfobulbus
ASV0700,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0702,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; Gaiellaceae; Gaiella
ASV0703,Bacteria; Bacteroidota; Ignavibacteria; SJA_28; f; g
ASV0704,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0705,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0706,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter
ASV0707,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Cellulomonadaceae; Cellulomonas
ASV0709,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0710,Bacteria; Acidobacteriota; Subgroup_18; o; f; g
ASV0711,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0712,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; uncultured
ASV0713,Bacteria; Acidobacteriota; Blastocatellia; Blastocatellales; Blastocatellaceae; OLB17
ASV0714,Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; uncultured
ASV0715,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; uncultured
ASV0716,Archaea; Thermoplasmatota; Thermoplasmata; Marine_Benthic_Group_D_and_DHVEG_1; f; g
ASV0717,Bacteria; MBNT15; c; o; f; g
ASV0718,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolineaceae_UCG_001
ASV0719,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; ADurb_Bin063_1
ASV0720,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Spirochaeta
ASV0721,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia_Caballeronia_Paraburkholderia
ASV0722,Bacteria; Armatimonadota; Chthonomonadetes; Chthonomonadales; f; g
ASV0723,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV0724,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; TRA3_20; g
ASV0725,Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella
ASV0726,Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria_Incertae_Sedis; Unknown_Family; Candidatus_Ovatusbacter
ASV0727,Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Aquisphaera
ASV0728,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0729,Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Aeromicrobium
ASV0730,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; Ellin6067
ASV0731,Bacteria; Firmicutes; Limnochordia; Hydrogenispora; f; g
ASV0732,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Arenimonas
ASV0733,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV0734,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Solitalea
ASV0736,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Intrasporangiaceae; Tetrasphaera
ASV0737,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV0738,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0739,Bacteria; Myxococcota; Myxococcia; Myxococcales; 27F_1492R; g
ASV0740,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0741,Bacteria; Proteobacteria; Gammaproteobacteria; Ectothiorhodospirales; Thioalkalispiraceae; Thioalkalispira_Sulfurivermis
ASV0742,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; uncultured; g
ASV0743,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV0744,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; Desulfitobacteriaceae; Desulfosporosinus
ASV0745,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; Nordella
ASV0746,Bacteria; Chloroflexi; TK10; o; f; g
ASV0747,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; uncultured; g
ASV0748,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium
ASV0749,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV0750,Bacteria; Planctomycetota; Planctomycetes; Pirellulales; Pirellulaceae; uncultured
ASV0751,Bacteria; RCP2_54; c; o; f; g
ASV0752,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0753,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV0754,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Mesorhizobium
ASV0755,Bacteria; Firmicutes; D8A_2; o; f; g
ASV0756,Bacteria; Firmicutes; Clostridia; Oscillospirales; UCG_010; g
ASV0757,Bacteria; Firmicutes; Clostridia; Peptococcales; Peptococcaceae; uncultured
ASV0758,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium
ASV0759,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Dehalobacter
ASV0760,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0761,Bacteria; Firmicutes; Clostridia; Peptococcales; Peptococcaceae; uncultured
ASV0762,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0763,Bacteria; Firmicutes; Clostridia; Oscillospirales; UCG_010; g
ASV0764,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0765,Bacteria; Proteobacteria; Alphaproteobacteria; Dongiales; Dongiaceae; Dongia
ASV0766,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0767,Bacteria; Firmicutes; Clostridia; Clostridia_vadinBB60_group; f; g
ASV0768,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculales_Incertae_Sedis; uncultured
ASV0769,Bacteria; Firmicutes; Clostridia; Peptococcales; Peptococcaceae; uncultured
ASV0770,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0771,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0772,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; g
ASV0773,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0774,Archaea; Crenarchaeota; Bathyarchaeia; o; f; g
ASV0775,Bacteria; Firmicutes; Clostridia; Oscillospirales; UCG_010; g
ASV0776,Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; g
ASV0777,Bacteria; Acidobacteriota; Holophagae; Subgroup_7; f; g
ASV0778,Bacteria; Firmicutes; Clostridia; Clostridia_vadinBB60_group; f; g
ASV0779,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Dokdonella
ASV0780,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Microvirga
ASV0781,Bacteria; Armatimonadota; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; g
ASV0782,Bacteria; Actinobacteriota; Coriobacteriia; OPB41; f; g
ASV0783,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0784,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; uncultured
ASV0785,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Proteiniboraceae; Proteiniborus
ASV0786,Bacteria; Firmicutes; Moorellia; Desulfitibacterales; Desulfitibacteraceae; Desulfitibacter
ASV0787,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Cellulomonadaceae; Actinotalea
ASV0788,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
ASV0789,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV0790,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Anaerocolumna
ASV0791,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Dinghuibacter
ASV0792,Bacteria; Armatimonadota; Chthonomonadetes; Chthonomonadales; f; g
ASV0793,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0794,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV0795,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Methylibium
ASV0796,Bacteria; MBNT15; c; o; f; g
ASV0797,Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter
ASV0798,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus
ASV0799,Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter
ASV0800,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Alkaliphilus; g
ASV0801,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Ferruginibacter
ASV0802,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Roseimicrobium
ASV0803,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV0804,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0805,Bacteria; Firmicutes; D8A_2; o; f; g
ASV0806,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV0807,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV0808,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0809,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV0810,Bacteria; Armatimonadota; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; g
ASV0811,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Anaerocolumna
ASV0812,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0813,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; B1_7BS; g
ASV0814,Bacteria; Firmicutes; Bacilli; Bacillales; Salisediminibacteriaceae; Salipaludibacillus
ASV0815,Bacteria; Desulfobacterota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio
ASV0816,Bacteria; Firmicutes; TSAC18; o; f; g
ASV0817,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV0818,Bacteria; Myxococcota; bacteriap25; o; f; g
ASV0819,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculaceae; Desulfotomaculum
ASV0820,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Colwelliaceae; Colwellia
ASV0821,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; uncultured; g
ASV0822,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; uncultured; g
ASV0823,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudorhodoplanes
ASV0824,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae_Subgroup_1_; uncultured
ASV0825,Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter
